Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,Electrical,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscVal,SaleCondition,HasLotFrontage,HasBasement,ExterCond.n,ExterQual.n,HeatingQC.n,KitchenQual.n,BsmtCond.n,FireplaceQu.n,GarageQual.n,GarageCond.n,Functional.n,BsmtFinType1.n,BsmtFinType2.n,PavedDrive.n,Utilities.n,LotShape.n,BsmtExposure.n,PoolQC.n,GarageFinish.n,BsmtHeight,SalePriceLog,YrMoSold
1,60,RL,0.216074820665833,-0.21787869246598,Pave,NONE,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,VinylSd,VinylSd,BrkFace,0.529034166692444,PConc,706,0,150,856,GasA,0.268289832918241,SBrkr,1.20737854974615,0.413547216301913,1,0,0.781365814350925,1.23259887250509,0.169927088600022,-0.207698474525451,0.98684936683629,-0.924311211315714,Attchd,0.295002434288667,0.349363616086492,-0.740760408320604,0.200006008983298,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,0,3,3,7,6,1,2,3,3,1,0,2,0.297607266471232,12.247694320221,200805
2,20,RL,0.664158368210282,-0.0720440827455964,Pave,NONE,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,MetalSd,MetalSd,None,-0.567015949674981,CBlock,978,0,284,1262,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.471890651387842,0,1,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.234950293971921,-0.0589913956141022,1.61487930046892,-0.702842766617084,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,4,2,3,3,3,3,7,5,1,2,3,3,4,0,2,0.297607266471232,12.109010932687,200708
3,60,RL,0.305691530174723,0.137196879027128,Pave,NONE,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,VinylSd,VinylSd,BrkFace,0.338903024057279,PConc,486,0,434,920,GasA,0.268289832918241,SBrkr,1.23537485316957,0.563755425999282,1,0,0.781365814350925,1.23259887250509,0.169927088600022,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.290554127598537,0.627787487700533,-0.740760408320604,-0.0812091834168209,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,3,3,3,7,6,1,2,3,2,2,0,2,0.297607266471232,12.3171666930358,200812
4,70,RL,0.0667136381510165,-0.0783847179508305,Pave,NONE,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,Wd Sdng,Wd Shng,None,-0.567015949674981,BrkTil,216,0,540,756,GasA,0.268289832918241,SBrkr,0.978742071788293,0.427382182984565,1,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Detchd,0.283881667563343,0.78556101494849,-0.740760408320604,-0.184814780616865,3.87496688722272,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Abnorml,0.44693779307133,1,2,2,3,3,4,4,3,3,7,5,1,2,3,2,1,0,1,-0.250997476711292,11.8493977015914,200605
5,60,RL,0.783647314222135,0.51890311838222,Pave,NONE,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,VinylSd,VinylSd,BrkFace,1.39021640098114,PConc,655,0,490,1145,GasA,0.268289832918241,SBrkr,1.67165058151773,1.37804203646397,1,0,0.781365814350925,1.23259887250509,1.38565545042224,-0.207698474525451,1.62415319466707,0.623631660646747,Attchd,0.288329974253473,1.68579819983389,0.776967189288753,0.540424399783442,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,3,3,3,7,6,1,2,3,2,3,0,2,0.297607266471232,12.4292161968444,200804
6,50,RL,0.813519550725098,0.500515276287041,Pave,NONE,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,VinylSd,VinylSd,None,-0.567015949674981,Wood,732,0,64,796,GasA,0.268289832918241,SBrkr,0.535467267584275,-0.274248270207093,1,0,-1.02736282330994,1.23259887250509,-2.26152963504441,-0.207698474525451,-0.925062116656053,-0.924311211315714,Attchd,0.27276090083802,0.0338165615905783,-0.424567158818655,-0.258818778616896,-0.359600750132276,12.6032232155473,-0.285935458023539,MnPrv,1.14431217701959,Normal,0.44693779307133,1,2,2,4,2,3,0,3,3,7,6,1,2,3,2,1,0,1,0.297607266471232,11.870599909242,200902
7,20,RL,0.514797185695465,-0.0106667339589305,Pave,NONE,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,VinylSd,VinylSd,Stone,0.473113242387984,PConc,1369,0,317,1686,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.381924435312993,1,0,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Attchd,0.297226587633731,0.757718627787086,1.27497155725432,0.140802810583273,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,4,3,3,7,6,1,2,3,3,3,0,2,1.66911912442754,12.6346030265693,200711
8,60,RL,-1.72562055202678,0.0271234518642645,Pave,NONE,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,HdBoard,HdBoard,Stone,0.77508623363207,CBlock,859,32,216,1107,GasA,0.268289832918241,SBrkr,1.50833881154783,1.16458826478876,1,0,0.781365814350925,1.23259887250509,0.169927088600022,-0.207698474525451,0.349545539005509,2.17157453260921,Attchd,0.228277833936727,0.0523781530315144,1.11687493250335,2.31652035178419,3.18996329882706,-0.103330530851366,-0.285935458023539,NONE,0.527360108561415,Normal,-2.23744784062252,1,2,2,4,2,3,3,3,3,7,5,4,2,3,2,2,0,2,0.297607266471232,12.2060726455302,200903
9,50,RM,-0.202136490375653,-0.513352293029888,Pave,NONE,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,BrkFace,Wd Shng,None,-0.567015949674981,BrkTil,0,0,952,952,GasA,0.268289832918241,FuseF,0.969409970647155,0.540038340257592,0,0,0.781365814350925,-0.756321032880405,-1.04580127322219,4.45593111885755,0.98684936683629,2.17157453260921,Detchd,0.13486339344401,-0.02186821273223,-0.029325596941218,-0.702842766617084,2.8318932412566,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Abnorml,0.44693779307133,1,2,2,3,2,3,3,2,3,6,1,1,2,3,3,1,0,1,-0.250997476711292,11.7745202026587,200807
10,190,RL,-0.232008726878616,-0.348495777693802,Pave,NONE,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,MetalSd,MetalSd,None,-0.567015949674981,BrkTil,851,0,140,991,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.837529056572227,1,0,-1.02736282330994,-0.756321032880405,-1.04580127322219,4.45593111885755,-0.925062116656053,2.17157453260921,Attchd,0.152656620204528,-1.24229284997378,-0.740760408320604,-0.643639568217059,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,4,2,3,3,4,3,7,6,1,2,3,3,1,0,2,-0.250997476711292,11.6784399034478,200801
11,20,RL,0.365436003180649,0.130856243821894,Pave,NONE,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,HdBoard,HdBoard,None,-0.567015949674981,CBlock,906,0,134,1040,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.910656737609104,1,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.925062116656053,-0.924311211315714,Detchd,0.210484607176209,-0.411661632991888,-0.740760408320604,-0.702842766617084,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,4,2,3,0,3,3,7,3,1,2,3,3,1,0,1,-0.250997476711292,11.7714361601217,200805
12,60,RL,0.813519550725098,0.222668641593683,Pave,NONE,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,WdShing,Wd Shng,Stone,1.03232248543259,PConc,998,0,177,1175,GasA,0.268289832918241,SBrkr,1.87928983190803,1.62707143675171,1,0,2.59009445201179,-0.756321032880405,1.38565545042224,-0.207698474525451,2.89876085032863,2.17157453260921,BuiltIn,0.299450740978796,1.22175841381049,0.42124978359906,-0.392025975016952,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Partial,0.44693779307133,1,2,4,4,4,3,4,3,3,7,6,1,2,3,2,1,0,3,1.66911912442754,12.7512996960135,200610
13,20,RL,-1.72562055202678,0.355061104678971,Pave,NONE,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,HdBoard,Plywood,None,-0.567015949674981,CBlock,737,0,175,912,GasA,0.268289832918241,SBrkr,-0.785025043886639,-1.16363898552046,1,0,-1.02736282330994,-0.756321032880405,-1.04580127322219,-0.207698474525451,-1.56236594448683,-0.924311211315714,Detchd,0.203812147141015,-0.560154364519377,0.365915964936219,-0.702842766617084,-0.359600750132276,-0.103330530851366,2.8471453325503,NONE,-0.0895919598967582,Normal,-2.23744784062252,1,2,2,2,2,3,0,3,3,7,5,1,2,3,1,1,0,1,-0.250997476711292,11.8775685785581,200812
14,20,RL,0.992752969742877,0.0613628819725286,Pave,NONE,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,VinylSd,VinylSd,Stone,1.14416433404151,PConc,0,0,1494,1494,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.0133603270485046,0,0,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Attchd,0.301674894323861,1.70435979127483,0.524012589687193,-0.214416379816877,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Partial,0.44693779307133,1,2,3,4,3,3,4,3,3,7,1,1,2,3,2,3,0,2,0.297607266471232,12.5407575715773,200711
15,20,RL,-1.72562055202678,0.0953486866725832,Pave,NONE,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,MetalSd,MetalSd,BrkFace,0.618507645579581,CBlock,733,0,520,1253,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.489678465694109,1,0,-1.02736282330994,1.23259887250509,-1.04580127322219,-0.207698474525451,-0.925062116656053,0.623631660646747,Attchd,0.199363840450886,-0.560154364519377,-0.740760408320604,2.44972754818425,2.38041360345037,-0.103330530851366,-0.285935458023539,GdWo,-0.0895919598967582,Normal,-2.23744784062252,1,2,2,2,2,3,2,3,3,7,4,1,2,3,2,1,0,2,-0.250997476711292,11.9640010843304,200808
16,45,RM,-0.202136490375653,-0.513352293029888,Pave,NONE,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,Wd Sdng,Wd Sdng,None,-0.567015949674981,BrkTil,0,0,832,832,GasA,0.268289832918241,FuseA,-0.785025043886639,-1.2782715666053,0,0,-1.02736282330994,-0.756321032880405,-1.04580127322219,-0.207698474525451,-0.925062116656053,-0.924311211315714,Detchd,0.268312594147891,0.479294756173045,-0.361328508918265,0.954846788583617,-0.359600750132276,-0.103330530851366,-0.285935458023539,GdPrv,-0.0895919598967582,Normal,0.44693779307133,1,2,2,4,2,3,0,3,3,7,1,1,2,3,3,1,0,1,-0.250997476711292,11.7905572015685,200710
17,20,RL,-1.72562055202678,0.136055564690186,Pave,NONE,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Wd Sdng,Wd Sdng,BrkFace,0.439560687805308,CBlock,578,0,426,1004,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.981807994834174,1,0,-1.02736282330994,-0.756321032880405,-1.04580127322219,-0.207698474525451,-0.925062116656053,0.623631660646747,Attchd,0.221605373901533,0.0338165615905783,-0.740760408320604,-0.702842766617084,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,1.14431217701959,Normal,-2.23744784062252,1,2,2,4,2,3,3,3,3,7,5,1,2,3,2,1,0,3,-0.250997476711292,11.9117015849276,201006
18,90,RL,0.425180476186576,0.0789898478430793,Pave,NONE,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,MetalSd,MetalSd,None,-0.567015949674981,Slab,0,0,0,0,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.404692241786387,0,0,0.781365814350925,-0.756321032880405,-1.04580127322219,4.45593111885755,-0.287758288825272,-0.924311211315714,CarPort,0.214932913866338,0.200870884559003,-0.740760408320604,-0.702842766617084,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,0.791768137900632,Normal,0.44693779307133,0,2,2,2,2,0,0,3,3,7,0,0,2,3,3,0,0,1,-4.91413779376274,11.4075649493124,200602
19,20,RL,0.245947057168796,0.447253940563074,Pave,NONE,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,VinylSd,VinylSd,None,-0.567015949674981,PConc,646,0,468,1114,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.76440137553535,1,0,-1.02736282330994,1.23259887250509,0.169927088600022,-0.207698474525451,-0.287758288825272,-0.924311211315714,Detchd,0.297226587633731,0.479294756173045,-0.740760408320604,0.806838792583555,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,4,3,3,0,3,3,7,6,1,2,3,3,1,0,1,-0.250997476711292,11.9766594812024,200809
20,20,RL,0.365436003180649,-0.330741999119147,Pave,NONE,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,BrkFace,Plywood,None,-0.567015949674981,CBlock,504,0,525,1029,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.319706017878665,0,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.287758288825272,-0.924311211315714,Attchd,0.194915533760756,-0.82929744041295,-0.740760408320604,-0.702842766617084,-0.359600750132276,-0.103330530851366,-0.285935458023539,MnPrv,-0.0895919598967582,Abnorml,0.44693779307133,1,2,2,2,2,3,0,3,3,6,2,1,2,3,3,1,0,1,-0.250997476711292,11.8422292121128,200908
21,60,RL,1.29147533477251,0.513196546697509,Pave,NONE,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,VinylSd,VinylSd,BrkFace,1.55797917389452,PConc,0,0,1158,1158,GasA,0.268289832918241,SBrkr,2.05659975358964,1.7298454749657,0,0,2.59009445201179,1.23259887250509,1.38565545042224,-0.207698474525451,1.62415319466707,0.623631660646747,BuiltIn,0.299450740978796,1.76468496345787,1.15639908869109,1.57648037178388,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Partial,0.44693779307133,1,2,3,4,3,3,4,3,3,7,1,1,2,3,2,3,0,2,1.66911912442754,12.6925031124614,200603
22,45,RM,-0.0229030713578732,-0.344818209274766,Pave,Grvl,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,Wd Sdng,Wd Sdng,None,-0.567015949674981,PConc,0,0,637,637,GasA,0.268289832918241,FuseF,-0.785025043886639,-0.776259918406195,0,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.132639240098946,-0.894263010456227,-0.740760408320604,-0.702842766617084,2.8318932412566,-0.103330530851366,-0.285935458023539,GdPrv,-0.0895919598967582,Normal,0.44693779307133,1,2,2,4,3,3,4,3,3,7,1,1,0,3,3,1,0,1,-0.250997476711292,11.8451027773086,200709
23,20,RL,0.514797185695465,-0.0540366787627316,Pave,NONE,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,VinylSd,VinylSd,BrkFace,1.00436202328036,PConc,0,0,1777,1777,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.581543240305549,0,0,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Attchd,0.292778280943602,0.284398046043216,0.610965733300229,1.65048436978391,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,4,3,3,7,1,1,2,3,3,1,0,2,0.297607266471232,12.3458345879053,200812
24,120,RM,-0.411242145896396,-0.753789180012364,Pave,NONE,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,CemntBd,CmentBd,None,-0.567015949674981,PConc,840,0,200,1040,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.871128261372955,1,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.234950293971921,0.460733164732109,0.0497227154342694,0.925245189383605,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,2,2,3,3,3,3,7,6,1,2,3,3,1,0,1,0.297607266471232,11.7745202026587,200709
25,20,RL,-1.72562055202678,-0.243748484103335,Pave,NONE,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,Plywood,Plywood,None,-0.567015949674981,CBlock,188,668,204,1060,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.871128261372955,1,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.217157067211403,-0.940666989058567,2.46860107412418,0.62922919738348,-0.359600750132276,-0.103330530851366,-0.285935458023539,MnPrv,-0.0895919598967582,Normal,-2.23744784062252,1,3,2,4,3,3,3,3,3,7,3,5,2,3,2,2,0,1,-0.250997476711292,11.9447078813958,201008
26,20,RL,1.56032546329918,0.515098737259079,Pave,NONE,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,VinylSd,VinylSd,Stone,3.01192320581049,PConc,0,0,1566,1566,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.196140597003089,0,0,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Attchd,0.303899047668925,1.93637968428653,-0.740760408320604,0.126002010983267,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,4,3,3,7,1,1,2,3,3,1,0,2,0.297607266471232,12.4541039123522,200910
27,20,RL,0.0667136381510165,-0.376394572596832,Pave,NONE,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,Wd Sdng,Wd Sdng,None,-0.567015949674981,CBlock,234,486,180,900,GasA,0.268289832918241,SBrkr,-0.785025043886639,-1.18735607126215,0,1,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.925062116656053,-0.924311211315714,Detchd,0.299450740978796,0.479294756173045,1.01411212641521,-0.229217179416884,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,2,3,3,0,3,3,7,4,3,2,3,3,2,0,1,-0.250997476711292,11.8115474774603,201008
28,20,RL,1.20185862526362,0.166110175562996,Pave,NONE,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,VinylSd,VinylSd,Stone,0.551402536414229,PConc,1218,0,486,1704,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.401688673431068,1,0,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,0.623631660646747,Attchd,0.30612320101399,1.38881273677891,-0.740760408320604,0.0371972133832291,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,4,3,3,7,6,1,2,3,3,1,0,2,1.66911912442754,12.6313403809345,201008
29,20,RL,-0.321625436387506,0.780264101541968,Pave,NONE,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,MetalSd,MetalSd,None,-0.567015949674981,CBlock,1277,0,207,1484,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.196140597003089,1,0,-1.02736282330994,-0.756321032880405,-1.04580127322219,-0.207698474525451,-0.287758288825272,2.17157453260921,Attchd,0.192691380415692,-0.7132874939071,1.53583098809343,3.11576353018453,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,2,2,3,4,3,3,7,4,1,2,3,2,4,0,2,-0.250997476711292,12.2428866186529,200604
30,30,RM,0.0667136381510165,-0.487482501392533,Pave,NONE,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,MetalSd,MetalSd,None,-0.567015949674981,BrkTil,0,0,520,520,GasA,-3.72731232161413,SBrkr,-0.785025043886639,-1.938397119749,0,0,-1.02736282330994,-0.756321032880405,-2.26152963504441,-0.207698474525451,-1.56236594448683,-0.924311211315714,Detchd,0.110397706648299,-1.07987892486559,-0.353423677680716,-0.702842766617084,0.994838163286417,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,1,1,3,0,2,3,7,1,1,2,3,2,1,0,1,-0.250997476711292,11.1345890242503,200808
31,70,C (all),-0.232008726878616,-0.211538057260746,Pave,Pave,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,BrkFace,BrkFace,None,-0.567015949674981,BrkTil,0,0,649,649,GasA,-3.72731232161413,SBrkr,0.773435846683274,-0.36318734173843,0,0,-1.02736282330994,-0.756321032880405,0.169927088600022,-0.207698474525451,-0.287758288825272,-0.924311211315714,Detchd,0.110397706648299,-1.03347494626325,-0.740760408320604,0.0964004117832542,2.31814054995985,-0.103330530851366,-0.285935458023539,MnPrv,-0.0895919598967582,Normal,0.44693779307133,1,1,2,2,2,3,0,3,2,7,1,1,0,3,3,1,0,1,-0.250997476711292,10.5966347330961,200810
32,20,RL,-1.72562055202678,-0.20595829828014,Pave,NONE,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,HdBoard,HdBoard,None,-0.567015949674981,CBlock,0,0,1228,1228,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.539089060989297,0,0,-1.02736282330994,1.23259887250509,0.169927088600022,-0.207698474525451,-0.287758288825272,-0.924311211315714,Attchd,0.212708760521274,-0.936026591198333,-0.740760408320604,0.259209207383323,-0.359600750132276,-0.103330530851366,-0.285935458023539,MnPrv,-0.0895919598967582,Normal,-2.23744784062252,1,2,2,3,3,3,0,3,3,7,1,1,2,3,2,1,0,1,-0.250997476711292,11.9140478236443,200809
33,20,RL,0.813519550725098,0.111707525502087,Pave,NONE,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,VinylSd,VinylSd,None,-0.567015949674981,PConc,0,0,1234,1234,GasA,0.268289832918241,SBrkr,-0.785025043886639,-0.527230518118452,0,0,0.781365814350925,-0.756321032880405,0.169927088600022,-0.207698474525451,0.349545539005509,-0.924311211315714,Attchd,0.303899047668925,0.0523781530315144,-0.740760408320604,-0.258818778616896,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,3,4,3,3,0,3,3,7,1,1,2,3,3,3,0,2,1.66911912442754,12.1001564199386,200801
34,20,RL,0.365436003180649,0.0486816115620604,Pave,NONE,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,BrkFace,BrkFace,None,-0.567015949674981,CBlock,1018,0,380,1398,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.393782978183838,0,1,-1.02736282330994,1.23259887250509,1.38565545042224,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.197139687105821,-0.119316567797145,-0.740760408320604,-0.140412381816846,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,2,3,3,3,4,3,3,7,3,1,2,3,2,1,0,2,-0.250997476711292,12.0167264737993,201007
35,120,RL,0.0667136381510165,-0.362064737033003,Pave,NONE,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,MetalSd,MetalSd,BrkFace,0.808638788214747,PConc,1153,0,408,1561,GasA,0.268289832918241,SBrkr,-0.785025043886639,0.119060068342597,1,0,0.781365814350925,-0.756321032880405,-1.04580127322219,-0.207698474525451,-0.287758288825272,0.623631660646747,Attchd,0.299450740978796,0.386486798968364,0.863920332901789,-0.00720518541678964,-0.359600750132276,-0.103330530851366,-0.285935458023539,NONE,-0.0895919598967582,Normal,0.44693779307133,1,2,4,4,4,3,4,3,3,7,6,1,2,3,3,1,0,3,1.66911912442754,12.5335762121686,200711
